person_id,paper_id
35,177
505,178
506,178
507,178
143,179
459,179
322,180
320,180
508,181
509,182
510,183
511,184
512,185
513,185
514,185
515,185
516,185
517,185
518,185
519,186
520,186
521,186
522,187
523,187
524,187
525,187
526,187
205,188
143,188
527,189
528,189
529,189
530,189
531,190
532,190
533,190
534,190
535,190
536,190
408,190
537,191
538,191
539,191
540,191
541,192
542,192
543,192
544,192
545,192
145,193
143,193
546,193
547,193
548,194
283,194
318,194
320,194
549,194
550,195
551,195
552,195
553,196
554,196
555,196
556,196
557,196
558,196
559,197
560,198
561,199
562,199
563,199
564,199
565,199
566,199
567,200
568,200
569,200
570,200
571,200
572,200
573,200
574,200
575,200
576,201
577,201
578,201
579,201
580,202
240,202
141,202
138,202
581,202
582,203
583,203
584,203
585,204
586,204
587,205
588,206
589,206
590,206
591,207
592,207
593,207
594,207
595,208
596,208
597,208
598,208
599,209
600,209
601,209
600,210
602,210
603,210
515,211
604,211
605,211
606,211
607,212
139,212
608,212
609,212
121,212
351,213
352,213
610,214
611,214
612,215
613,215
614,215
240,216
277,216
141,216
276,216
138,216
43,217
42,217
615,218
616,218
617,219
618,220
619,220
620,220
229,221
228,221
621,222
298,222
622,222
129,222
623,222
478,223
624,224
625,224
626,225
627,225
628,226
629,226
630,226
631,226
142,227
632,228
633,228
634,228
66,229
63,229
635,230
636,230
637,230
430,230
638,230
639,230
385,230
640,230
140,230
433,230
641,231
642,231
643,232
644,232
172,232
645,232
646,232
174,232
647,233
648,233
131,233
649,233
650,234
165,234
651,235
652,235
653,235
9,235
11,235
654,236
440,236
655,236
656,236
657,236
658,236
659,236
660,236
661,237
662,237
663,237
664,237
665,237
666,237
667,237
668,237
669,237
670,237
671,237
672,237
673,237
674,237
675,237
676,238
677,238
678,238
679,238
680,238
681,238
682,238
683,239
684,239
93,240
92,240
685,241
636,241
637,241
430,241
638,241
686,241
639,241
687,241
688,241
385,241
640,241
140,241
689,241
433,241
690,242
691,242
692,242
693,242
35,243
36,243
694,243
695,244
389,244
297,245
129,245
127,245
298,245
696,246
697,246
698,246
699,246
700,247
701,247
347,247
702,247
703,248
35,248
495,248
127,249
129,249
298,249
704,250
541,250
705,250
706,251
707,251
708,251
240,252
277,252
141,252
138,252
709,252
194,253
333,253
710,253
711,254
712,254
713,254
714,254
715,255
716,255
717,256
718,256
121,256
719,256
720,256
721,256
722,256
723,257
724,257
352,257
351,257
725,257
726,257
727,258
728,258
729,259
730,259
731,259
732,259
733,259
734,259
696,260
697,260
698,260
699,260
263,261
260,261
261,261
262,261
735,262
736,262
737,262
738,263
739,263
740,264
741,264
742,264
743,264
744,265
745,265
746,265
747,265
443,266
444,266
748,267
749,267
750,267
751,267
752,268
753,268
66,268
43,269
429,269
754,270
755,270
756,270
757,271
758,271
759,271
760,272
761,272
762,272
763,273
764,273
101,273
765,274
766,274
767,274
768,274
769,274
770,275
240,276
771,277
772,278
773,279
774,280
775,281
776,282
777,283
778,284
779,285
780,286
108,287
781,288
782,289
683,290
783,291
784,292
785,293
786,294
787,295
788,296
789,297
790,298
791,299
792,300
793,301
118,302
794,303
795,304
796,305
783,306
764,307
235,308
797,309
798,310
697,311
799,312
800,313
801,314
620,315
802,316
803,317
804,318
805,319
806,320
735,321
807,322
808,322
809,322
810,322
811,322
812,322
813,322
814,322
815,322
816,322
817,322
243,323
